idx;Hora;Min;Seg;ms;RPM;Load;Inje;txb_manom;inputMan;pressVac;pressRed;pressGnv;tempGnv;pgbkA_In;pgbkB_In;pgbkA_Out;pgbkB_Out;pgbkA_Ganho;pgbkB_Ganho;periodoA;periodoB;tempRedutor;tempEGT;tempECU;lambdaA;acel;btnCount;injDiesel;lambdaB;tlmCount;app_digitalswitch;app_injmap;app_sensors;app_supervisor;app_uart_receive;app_uart_transmit;interrupt_pgbk;interrupt_injrails;resetReason;D0;D1;D2;D3;D4;D5;D6;D7;D8;D9;sig_diagramReduction;tensao_bateria;a;b;c;d;e
0;11;3;11;467;751;190;0;61;1013;67;50;82;5766;3140;1465;3172;1506;1007;1000;0;0;53;132;1912;659;799;0;0;0;23602;4721;32761;29051;23607;32764;15040;32355;32768;64;0;926;1910;1455;0;0;0;0;586;128;0;1455;104;0;1;0;0
0;11;3;11;573;776;188;0;61;1013;67;50;82;5764;3139;1396;3125;1412;1009;999;0;0;53;132;1912;663;775;0;0;0;23603;4721;32761;29061;23608;32764;16040;32540;32768;64;0;2099;1910;1455;0;0;0;0;559;138;0;1455;104;0;1;0;0
0;11;3;11;657;753;194;0;61;1013;67;50;82;5766;3118;1398;3150;1374;1007;1001;0;0;53;132;1912;657;561;0;0;0;23604;4722;32761;29070;23609;32764;17040;32724;32768;64;0;926;1911;1455;0;0;0;0;556;135;0;1455;104;0;1;0;0
0;11;3;11;755;763;186;0;61;1013;67;50;82;5766;3168;1441;3161;1459;1007;1000;0;0;53;132;1912;660;797;0;0;0;23605;4722;32761;29080;23610;32764;18040;32724;32768;64;0;2104;1911;1455;0;0;0;0;576;132;0;1455;104;0;1;0;0
0;11;3;11;852;782;188;0;61;1013;67;50;82;5766;3159;1405;3203;1380;1006;999;0;0;53;132;1913;663;540;0;0;0;23606;4722;32761;29089;23611;32764;19040;32724;32768;64;0;926;1910;1455;0;0;0;0;558;140;0;1455;4;0;1;0;0
0;11;3;11;947;746;183;0;61;1013;67;50;82;5766;3179;1411;3192;1424;1007;999;0;0;53;131;1913;663;759;0;0;0;23607;4722;32761;29099;23612;32764;20040;32724;32768;64;0;2094;1911;1455;0;0;0;0;564;132;0;1455;3;0;1;0;0
0;11;3;12;42;774;188;0;61;1013;67;50;82;5766;3118;1412;3182;1389;1009;1000;0;0;53;131;1913;658;815;0;0;0;23608;4722;32761;29108;23613;32764;21040;32724;32768;64;0;926;1911;1455;0;0;0;0;562;137;0;1455;2;0;1;0;0
0;11;3;12;136;774;193;0;61;1013;67;50;82;5762;3228;1373;3255;1387;1006;997;0;0;53;132;1912;665;784;0;0;0;23609;4723;32761;29117;23614;32764;22040;32724;32768;64;0;926;1910;1455;0;0;0;0;549;140;0;1455;5;1;1;0;0
0;11;3;12;234;768;186;0;61;1013;67;50;82;5766;3088;1444;3140;1426;1009;1000;0;0;53;132;1912;658;760;0;0;0;23610;4723;32761;29127;23615;32764;23040;32724;32768;64;0;926;1910;1455;0;0;0;0;576;133;0;1455;7;0;1;0;0
0;11;3;12;330;778;195;0;61;1013;67;50;82;5768;3175;1400;3217;1410;1007;999;0;0;53;131;1912;662;789;0;0;0;23611;4723;32761;29137;23616;32764;24040;32724;32768;64;0;2101;1911;1455;0;0;0;0;559;139;0;1455;104;0;1;0;0
